19/02/2016-00:05:26
TIME	NETW	INTERFACE	RECV[B/s]	SENT[B/s]
TIME	PROC	PID	NAME	RES[B]	VIRT[B]	CPU[%]
1 PROC 2688 mintupdate-laun 7413760 24825856 0.0
1 PROC 2691 sh 778240 4554752 0.0
1 PROC 2692 mintUpdate 48746496 701124608 0.0
1 PROC 2732 mate-terminal 29687808 681771008 0.0
1 PROC 2736 gnome-pty-helper 1802240 15183872 0.0
1 PROC 12531 kworker/7:1 0 0 0.0
1 PROC 12640 kworker/1:2 0 0 0.0
1 PROC 15760 pluma 67530752 1386086400 0.0
1 PROC 18280 kworker/6:2 0 0 0.0
1 PROC 18287 bash 6443008 23896064 0.0
1 PROC 19172 gvfsd-sftp 7188480 359702528 0.0
1 PROC 19178 ssh 5382144 49434624 0.0
1 PROC 19181 ssh 5349376 49434624 0.0
1 PROC 19272 kworker/6:1 0 0 0.0
1 PROC 19377 kworker/0:2 0 0 0.0
1 PROC 19428 kworker/3:2 0 0 0.0
1 PROC 19473 kworker/5:1 0 0 0.0
1 PROC 19499 kworker/1:0 0 0 0.0
1 PROC 19557 kworker/7:0 0 0 0.0
1 PROC 19558 kworker/0:0 0 0 0.0
1 PROC 19561 kworker/u16:2 0 0 0.0
1 PROC 19564 kworker/4:1 0 0 0.0
1 PROC 19663 kworker/2:2 0 0 0.0
1 PROC 19716 kworker/u16:1 0 0 0.0
1 PROC 19755 python 12259328 44888064 3.0
2 NETW lo 0 0
2 NETW wlan0 0 0
2 NETW eth0 0 0
2 PROC 1 init 4890624 35135488 0.0
2 PROC 2 kthreadd 0 0 0.0
2 PROC 3 ksoftirqd/0 0 0 0.0
2 PROC 5 kworker/0:0H 0 0 0.0
2 PROC 7 rcu_sched 0 0 0.0
2 PROC 8 rcu_bh 0 0 0.0
2 PROC 9 rcuos/0 0 0 0.0
2 PROC 10 rcuob/0 0 0 0.0
2 PROC 11 migration/0 0 0 0.0
2 PROC 12 watchdog/0 0 0 0.0
2 PROC 13 watchdog/1 0 0 0.0
2 PROC 14 migration/1 0 0 0.0
2 PROC 15 ksoftirqd/1 0 0 0.0
2 PROC 17 kworker/1:0H 0 0 0.0
2 PROC 18 rcuos/1 0 0 0.0
2 PROC 19 rcuob/1 0 0 0.0
2 PROC 20 watchdog/2 0 0 0.0
2 PROC 21 migration/2 0 0 0.0
2 PROC 22 ksoftirqd/2 0 0 0.0
2 PROC 24 kworker/2:0H 0 0 0.0
2 PROC 25 rcuos/2 0 0 0.0
2 PROC 26 rcuob/2 0 0 0.0
2 PROC 27 watchdog/3 0 0 0.0
2 PROC 28 migration/3 0 0 0.0
2 PROC 29 ksoftirqd/3 0 0 0.0
2 PROC 31 kworker/3:0H 0 0 0.0
2 PROC 32 rcuos/3 0 0 0.0
2 PROC 33 rcuob/3 0 0 0.0
2 PROC 34 watchdog/4 0 0 0.0
2 PROC 35 migration/4 0 0 0.0
2 PROC 36 ksoftirqd/4 0 0 0.0
2 PROC 37 kworker/4:0 0 0 0.0
2 PROC 38 kworker/4:0H 0 0 0.0
2 PROC 39 rcuos/4 0 0 0.0
2 PROC 40 rcuob/4 0 0 0.0
2 PROC 41 watchdog/5 0 0 0.0
2 PROC 42 migration/5 0 0 0.0
2 PROC 43 ksoftirqd/5 0 0 0.0
2 PROC 44 kworker/5:0 0 0 0.0
2 PROC 45 kworker/5:0H 0 0 0.0
2 PROC 46 rcuos/5 0 0 0.0
2 PROC 47 rcuob/5 0 0 0.0
2 PROC 48 watchdog/6 0 0 0.0
2 PROC 49 migration/6 0 0 0.0
2 PROC 50 ksoftirqd/6 0 0 0.0
2 PROC 52 kworker/6:0H 0 0 0.0
2 PROC 53 rcuos/6 0 0 0.0
2 PROC 54 rcuob/6 0 0 0.0
2 PROC 55 watchdog/7 0 0 0.0
2 PROC 56 migration/7 0 0 0.0
2 PROC 57 ksoftirqd/7 0 0 0.0
2 PROC 59 kworker/7:0H 0 0 0.0
2 PROC 60 rcuos/7 0 0 0.0
2 PROC 61 rcuob/7 0 0 0.0
2 PROC 62 khelper 0 0 0.0
2 PROC 63 kdevtmpfs 0 0 0.0
2 PROC 64 netns 0 0 0.0
2 PROC 65 perf 0 0 0.0
2 PROC 66 khungtaskd 0 0 0.0
2 PROC 67 writeback 0 0 0.0
2 PROC 68 ksmd 0 0 0.0
2 PROC 69 khugepaged 0 0 0.0
2 PROC 70 crypto 0 0 0.0
2 PROC 71 kintegrityd 0 0 0.0
2 PROC 72 bioset 0 0 0.0
2 PROC 73 kblockd 0 0 0.0
2 PROC 74 ata_sff 0 0 0.0
2 PROC 75 md 0 0 0.0
2 PROC 76 devfreq_wq 0 0 0.0
2 PROC 81 kswapd0 0 0 0.0
2 PROC 82 fsnotify_mark 0 0 0.0
2 PROC 83 ecryptfs-kthrea 0 0 0.0
2 PROC 95 kthrotld 0 0 0.0
2 PROC 96 kworker/2:1 0 0 0.0
2 PROC 97 kworker/3:1 0 0 0.0
2 PROC 102 acpi_thermal_pm 0 0 0.0
2 PROC 107 ipv6_addrconf 0 0 0.0
2 PROC 127 deferwq 0 0 0.0
2 PROC 128 charger_manager 0 0 0.0
2 PROC 180 kpsmoused 0 0 0.0
2 PROC 181 scsi_eh_0 0 0 0.0
2 PROC 182 scsi_tmf_0 0 0 0.0
2 PROC 183 scsi_eh_1 0 0 0.0
2 PROC 184 scsi_tmf_1 0 0 0.0
2 PROC 185 scsi_eh_2 0 0 0.0
2 PROC 186 scsi_tmf_2 0 0 0.0
2 PROC 187 scsi_eh_3 0 0 0.0
2 PROC 188 scsi_tmf_3 0 0 0.0
2 PROC 216 rtsx_pci_sdmmc_ 0 0 0.0
2 PROC 286 jbd2/sdb1-8 0 0 0.0
2 PROC 287 ext4-rsv-conver 0 0 0.0
2 PROC 416 upstart-udev-bridge 2244608 20078592 0.0
2 PROC 421 systemd-udevd 3977216 53383168 0.0
2 PROC 455 kworker/4:1H 0 0 0.0
2 PROC 456 kworker/0:1H 0 0 0.0
